Entry Time Temperature CO* OH* OH CO2
99 9.8000000000000065E-01 1.0051000000000001E+00 0 0 2500 0
100 9.9000000000000066E-01 1.0050500000000000E+00 0 0 2500 0
101 1.0000000000000007E+00 1.0050000000000001E+00 0 0 2500 0
102 1.0100000000000007E+00 1.0049500000000000E+00 0 0 2500 0
103 1.0200000000000007E+00 1.0048999999999999E+00 0 0 2500 0
104 1.0300000000000007E+00 1.0048500000000000E+00 0 0 2500 0
105 1.0400000000000007E+00 1.0047999999999999E+00 0 0 2500 0
106 1.0500000000000007E+00 1.0047500000000000E+00 0 0 2500 0
107 1.0600000000000007E+00 1.0046999999999999E+00 0 0 2500 0
108 1.0700000000000007E+00 1.0046500000000000E+00 0 0 2500 0
109 1.0800000000000007E+00 1.0045999999999999E+00 0 0 2500 0
110 1.0900000000000007E+00 1.0045500000000001E+00 0 0 2500 0
111 1.1000000000000008E+00 1.0044999999999999E+00 0 0 2500 0
112 1.1100000000000008E+00 1.0044500000000001E+00 0 0 2500 0
113 1.1200000000000008E+00 1.0044000000000000E+00 0 0 2500 0
114 1.1300000000000008E+00 1.0043500000000001E+00 0 0 2500 0
115 1.1400000000000008E+00 1.0043000000000000E+00 0 0 2500 0
116 1.1500000000000008E+00 1.0042500000000001E+00 0 0 2500 0
117 1.1600000000000008E+00 1.0042000000000000E+00 0 0 2500 0
118 1.1700000000000008E+00 1.0041500000000001E+00 0 0 2500 0
119 1.1800000000000008E+00 1.0041000000000000E+00 0 0 2500 0
120 1.1900000000000008E+00 1.0040500000000001E+00 0 0 2500 0
121 1.2000000000000008E+00 1.0040000000000000E+00 0 0 2500 0
122 1.2100000000000009E+00 1.0039499999999999E+00 0 0 2500 0
123 1.2200000000000009E+00 1.0039000000000000E+00 0 0 2500 0
124 1.2300000000000009E+00 1.0038499999999999E+00 0 0 2500 0
125 1.2400000000000009E+00 1.0038000000000000E+00 0 0 2500 0
126 1.2500000000000009E+00 1.0037499999999999E+00 0 0 2500 0
127 1.2600000000000009E+00 1.0037000000000000E+00 0 0 2500 0
128 1.2700000000000009E+00 1.0036499999999999E+00 0 0 2500 0
129 1.2800000000000009E+00 1.0036000000000000E+00 0 0 2500 0
130 1.2900000000000009E+00 1.0035499999999999E+00 0 0 2500 0
131 1.3000000000000009E+00 1.0035000000000001E+00 0 0 2500 0
132 1.3100000000000009E+00 1.0034500000000000E+00 0 0 2500 0
133 1.3200000000000010E+00 1.0034000000000001E+00 0 0 2500 0
134 1.3300000000000010E+00 1.0033500000000000E+00 0 0 2500 0
135 1.3400000000000010E+00 1.0033000000000001E+00 0 0 2500 0
136 1.3500000000000010E+00 1.0032500000000000E+00 0 0 2500 0
137 1.3600000000000010E+00 1.0032000000000001E+00 0 0 2500 0
138 1.3700000000000010E+00 1.0031500000000000E+00 0 0 2500 0
139 1.3800000000000010E+00 1.0031000000000001E+00 0 0 2500 0
140 1.3900000000000010E+00 1.0030500000000000E+00 0 0 2500 0
141 1.4000000000000010E+00 1.0030000000000001E+00 0 0 2500 0
142 1.4100000000000010E+00 1.0029500000000000E+00 0 0 2500 0
143 1.4200000000000010E+00 1.0028999999999999E+00 0 0 2500 0
144 1.4300000000000010E+00 1.0028500000000000E+00 0 0 2500 0
145 1.4400000000000011E+00 1.0027999999999999E+00 0 0 2500 0
146 1.4500000000000011E+00 1.0027500000000000E+00 0 0 2500 0
147 1.4600000000000011E+00 1.0026999999999999E+00 0 0 2500 0
148 1.4700000000000011E+00 1.0026500000000000E+00 0 0 2500 0
149 1.4800000000000011E+00 1.0025999999999999E+00 0 0 2500 0
150 1.4900000000000011E+00 1.0025500000000001E+00 0 0 2500 0
151 1.5000000000000011E+00 1.0024999999999999E+00 0 0 2500 0
152 1.5100000000000011E+00 1.0024500000000001E+00 0 0 2500 0
153 1.5200000000000011E+00 1.0024000000000000E+00 0 0 2500 0
154 1.5300000000000011E+00 1.0023500000000001E+00 0 0 2500 0
155 1.5400000000000011E+00 1.0023000000000000E+00 0 0 2500 0
156 1.5500000000000012E+00 1.0022500000000001E+00 0 0 2500 0
157 1.5600000000000012E+00 1.0022000000000000E+00 0 0 2500 0
